isogroup30581_g1	Transmembrane protein 17B OS=Danio rerio GN=Tmem17b PE=2 SV=1 E(blastx)=3e-38
isogroup58301_g1	Beta-arrestin-1 OS=Macaca fascicularis GN=ARRB1 PE=2 SV=1 E(blastx)=1e-172
isogroup186011_g1	Tumor necrosis factor ligand superfamily member 11 OS=Homo sapiens GN=TNFSF11 PE=1 SV=1 E(blastx)=8e-08
isogroup57930_g3	Clathrin light chain A OS=Rattus norvegicus GN=Clta PE=1 SV=1 E(blastx)=3e-34
isogroup46511_g1	Transcription factor Sox-17-beta.3 OS=Xenopus laevis GN=sox17b.3 PE=2 SV=1 E(blastx)=6e-25
isogroup170342_g1	Protein hinderin OS=Mus musculus GN=Kiaa1328 PE=1 SV=2 E(blastx)=1e-14
isogroup47531_g1	PiggyBac transposable element-derived protein 4 OS=Homo sapiens GN=PGBD4 PE=2 SV=3 E(blastx)=2e-37
isogroup39969_g1	Gamma-glutamyl peptidase 4 OS=Arabidopsis thaliana GN=GGP4 PE=3 SV=1 E(blastx)=1e-16
isogroup31292_g1	60S ribosomal protein L24 OS=Danio rerio GN=rpl24 PE=2 SV=1 E(blastx)=3e-48
isogroup56919_g1	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Bos taurus GN=FNTA PE=2 SV=2 E(blastx)=2e-126
isogroup175216_g1	Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1 E(blastx)=2e-15
isogroup58953_g2	RING finger protein 10 OS=Homo sapiens GN=RNF10 PE=1 SV=2 E(blastx)=4e-123
isogroup24639_g1	Leucine-rich repeat-containing protein 74B OS=Homo sapiens GN=LRRC74B PE=2 SV=3 E(blastx)=5e-33
isogroup55356_g1	Proline-rich transmembrane protein 1 OS=Homo sapiens GN=PRRT1 PE=2 SV=2 E(blastx)=7e-07
isogroup186198_g1	Gelation factor OS=Dictyostelium discoideum GN=abpC PE=1 SV=1 E(blastx)=3e-08
isogroup50151_g1	Lithostathine-1 OS=Mus musculus GN=Reg1 PE=1 SV=1 E(blastx)=9e-17
isogroup61161_g2	NAD(P) transhydrogenase subunit beta OS=Shigella flexneri GN=pntB PE=3 SV=1 E(blastx)=3e-146
isogroup188257_g1	Monocarboxylate transporter 14 OS=Homo sapiens GN=SLC16A14 PE=2 SV=1 E(blastx)=9e-15
isogroup45595_g2	Alpha-(1,3)-fucosyltransferase 11 OS=Rattus norvegicus GN=Fut11 PE=2 SV=1 E(blastx)=6e-65
isogroup31306_g2	Neurocan core protein OS=Rattus norvegicus GN=Ncan PE=1 SV=1 E(blastx)=1e-18
isogroup47118_g1	Tyrosine-protein kinase CSK OS=Bos taurus GN=CSK PE=2 SV=1 E(blastx)=2e-08
isogroup101850_g1	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 OS=Homo sapiens GN=B3GAT3 PE=1 SV=2 E(blastx)=2e-77
isogroup62317_g3	Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4 E(blastx)=2e-08
isogroup46236_g1	Sorting nexin-12 OS=Homo sapiens GN=SNX12 PE=1 SV=3 E(blastx)=1e-69
isogroup60019_g1	Vesicle-trafficking protein SEC22a OS=Rattus norvegicus GN=Sec22a PE=2 SV=1 E(blastx)=6e-69
isogroup49836_g2	Steroid 17-alpha-hydroxylase/17,20 lyase OS=Oryzias latipes GN=cyp17a1 PE=2 SV=1 E(blastx)=1e-48
isogroup14200_g1	Retrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster GN=pol PE=3 SV=1 E(blastx)=4e-16
isogroup58810_g3	Ephrin-B2a OS=Danio rerio GN=efnb2a PE=2 SV=1 E(blastx)=2e-11
isogroup47696_g1	Cornifelin homolog OS=Xenopus tropicalis GN=cnfn PE=3 SV=1 E(blastx)=2e-13
isogroup93395_g1	Unconventional myosin-XV OS=Mus musculus GN=Myo15a PE=1 SV=2 E(blastx)=3e-10
isogroup47119_g1	Homeobox protein OTX2-B OS=Xenopus laevis GN=otx2-b PE=2 SV=1 E(blastx)=2e-33
isogroup49846_g2	Protein mab-21 OS=Anopheles gambiae GN=mab-21 PE=3 SV=3 E(blastx)=2e-05
isogroup56444_g1	RNA 3'-terminal phosphate cyclase OS=Bos taurus GN=RTCA PE=2 SV=1 E(blastx)=4e-58
isogroup36538_g1	Insulin-degrading enzyme OS=Bos taurus GN=IDE PE=2 SV=1 E(blastx)=9e-96
isogroup59843_g3	Protein FAM72A OS=Bos taurus GN=FAM72A PE=1 SV=1 E(blastx)=3e-51
isogroup171184_g1	Probable L-tyrosine/L-aspartate decarboxylase OS=Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3) GN=mfnA PE=3 SV=1 E(blastx)=8e-16
isogroup13102_g2	Translocase of chloroplast 159, chloroplastic OS=Arabidopsis thaliana GN=TOC159 PE=1 SV=1 E(blastx)=3e-09
isogroup59163_g1	Nuclear speckle splicing regulatory protein 1 OS=Homo sapiens GN=NSRP1 PE=1 SV=1 E(blastx)=6e-45
isogroup62617_g3	Zinc finger CCCH domain-containing protein 15 OS=Danio rerio GN=zc3h15 PE=2 SV=1 E(blastx)=6e-76
isogroup11790_g1	THAP domain-containing protein 3 OS=Homo sapiens GN=THAP3 PE=1 SV=1 E(blastx)=9e-10
isogroup61286_g2	Fibroblast growth factor receptor 2 OS=Danio rerio GN=fgfr2 PE=1 SV=1 E(blastx)=9e-167
isogroup51844_g1	Lysosome membrane protein 2 OS=Mus musculus GN=Scarb2 PE=1 SV=3 E(blastx)=4e-87
isogroup52199_g1	Cell division cycle protein 20 homolog OS=Homo sapiens GN=CDC20 PE=1 SV=2 E(blastx)=4e-165
isogroup44411_g2	4-hydroxy-2-oxoglutarate aldolase, mitochondrial OS=Xenopus tropicalis GN=hoga1 PE=2 SV=2 E(blastx)=3e-132
isogroup57570_g1	PAS domain-containing serine/threonine-protein kinase OS=Mus musculus GN=Pask PE=1 SV=3 E(blastx)=9e-116
isogroup41554_g1	Dopamine receptor 2 OS=Drosophila melanogaster GN=Dop1R2 PE=2 SV=1 E(blastx)=2e-07
isogroup58099_g1	Myotubularin-related protein 10 OS=Mus musculus GN=Mtmr10 PE=1 SV=2 E(blastx)=1e-77
isogroup3792_g1	TNF receptor-associated factor 6 OS=Mus musculus GN=Traf6 PE=1 SV=2 E(blastx)=9e-12
isogroup58800_g1	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4 E(blastx)=2e-121
isogroup99006_g1	Ficolin-1 OS=Homo sapiens GN=FCN1 PE=1 SV=2 E(blastx)=1e-61
isogroup62812_g1	B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3 E(blastx)=5e-46
isogroup25344_g1	Zinc finger MYM-type protein 1 OS=Homo sapiens GN=ZMYM1 PE=1 SV=1 E(blastx)=6e-19
isogroup60322_g1	E3 ubiquitin-protein ligase MARCH8 OS=Mus musculus GN=March8 PE=2 SV=1 E(blastx)=1e-83
isogroup52389_g1	Vinculin OS=Gallus gallus GN=VCL PE=1 SV=4 E(blastx)=3e-31
isogroup46719_g1	Protein phosphatase 1 regulatory subunit 42 OS=Xenopus laevis GN=ppp1r42 PE=2 SV=1 E(blastx)=1e-83
isogroup50663_g1	Sterol 26-hydroxylase, mitochondrial OS=Rattus norvegicus GN=Cyp27a1 PE=1 SV=1 E(blastx)=1e-94
isogroup13795_g1	Kelch-like protein 6 OS=Homo sapiens GN=KLHL6 PE=1 SV=3 E(blastx)=7e-07
isogroup183292_g1	Calumenin-B OS=Salmo salar GN=calub PE=2 SV=1 E(blastx)=1e-32
isogroup43255_g2	Protocadherin-like protein OS=Acropora millepora PE=1 SV=1 E(blastx)=2e-35
isogroup47260_g1	Putative IQ motif and ankyrin repeat domain-containing protein LOC642574 OS=Homo sapiens PE=5 SV=2 E(blastx)=5e-99
isogroup52044_g1	Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Mus musculus GN=Ict1 PE=1 SV=1 E(blastx)=4e-37
isogroup46821_g1	Cyclin-C OS=Mus musculus GN=Ccnc PE=2 SV=4 E(blastx)=3e-119
isogroup54321_g1	WD repeat-containing protein 97 OS=Homo sapiens GN=WDR97 PE=2 SV=2 E(blastx)=1e-17
isogroup144880_g1	Single insulin-like growth factor-binding domain protein-2 OS=Cupiennius salei PE=1 SV=1 E(blastx)=1e-05
isogroup60498_g1	Transient receptor potential cation channel subfamily A member 1 OS=Homo sapiens GN=TRPA1 PE=1 SV=3 E(blastx)=1e-111
isogroup61074_g1	X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3 E(blastx)=1e-126
isogroup60480_g2	Transmembrane protease serine 9 OS=Mus musculus GN=Tmprss9 PE=3 SV=1 E(blastx)=2e-91
isogroup59780_g1	Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Homo sapiens GN=IAH1 PE=1 SV=1 E(blastx)=3e-55
isogroup38829_g1	Polyketide synthase PksN OS=Bacillus subtilis (strain 168) GN=pksN PE=1 SV=3 E(blastx)=5e-06
isogroup52231_g1	U-actitoxin-Avd3h OS=Anemonia viridis PE=3 SV=1 E(blastx)=5e-14
isogroup53164_g1	Leucine-rich repeat and IQ domain-containing protein 3 OS=Mus musculus GN=Lrriq3 PE=2 SV=1 E(blastx)=2e-40
isogroup14408_g1	Zinc finger protein Gfi-1b OS=Gallus gallus GN=GFI1B PE=2 SV=1 E(blastx)=1e-65
isogroup60524_g6	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Xenopus tropicalis GN=pin4 PE=2 SV=1 E(blastx)=1e-48
isogroup43093_g1	Krueppel-like factor 15 OS=Mus musculus GN=Klf15 PE=1 SV=1 E(blastx)=5e-40
isogroup59470_g1	CSC1-like protein 2 OS=Homo sapiens GN=TMEM63B PE=1 SV=1 E(blastx)=3e-130
isogroup61023_g3	E3 ubiquitin-protein ligase UPL2 OS=Arabidopsis thaliana GN=UPL2 PE=1 SV=3 E(blastx)=4e-05
isogroup62600_g1	Sacsin OS=Homo sapiens GN=SACS PE=1 SV=2 E(blastx)=8e-67
isogroup63067_g1	G-protein coupled receptor 98 OS=Homo sapiens GN=GPR98 PE=1 SV=2 E(blastx)=3e-136
isogroup61969_g2	Dynein heavy chain 6, axonemal OS=Homo sapiens GN=DNAH6 PE=2 SV=3 E(blastx)=2e-33
isogroup22520_g1	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Gallus gallus GN=ANKRD44 PE=2 SV=1 E(blastx)=1e-12
isogroup10218_g1	Small integral membrane protein 20 OS=Homo sapiens GN=SMIM20 PE=1 SV=2 E(blastx)=3e-11
isogroup87061_g1	Potassium voltage-gated channel subfamily H member 6 OS=Homo sapiens GN=KCNH6 PE=1 SV=1 E(blastx)=2e-07
isogroup56470_g1	Probable protein S-acyltransferase 23 OS=Arabidopsis thaliana GN=PAT23 PE=2 SV=2 E(blastx)=3e-54
isogroup74494_g1	Contactin-2 OS=Gallus gallus GN=CNTN2 PE=1 SV=1 E(blastx)=1e-07
isogroup59340_g8	Protein salvador homolog 1 OS=Mus musculus GN=Sav1 PE=1 SV=2 E(blastx)=6e-49
isogroup35390_g2	Protein fem-1 homolog B OS=Gallus gallus GN=FEM1B PE=2 SV=1 E(blastx)=2e-32
isogroup43881_g1	UPF0547 protein C16orf87 homolog OS=Danio rerio GN=zgc:92818 PE=2 SV=1 E(blastx)=1e-13
isogroup55718_g1	Methylthioribose-1-phosphate isomerase OS=Nematostella vectensis GN=v1g237765 PE=3 SV=1 E(blastx)=3e-138
isogroup63207_g1	Pogo transposable element with KRAB domain OS=Mus musculus GN=Pogk PE=2 SV=2 E(blastx)=2e-15
isogroup55435_g1	BTB/POZ domain-containing protein 6 OS=Homo sapiens GN=BTBD6 PE=1 SV=3 E(blastx)=7e-71
isogroup158970_g1	Heterogeneous nuclear ribonucleoprotein A2 homolog 2 OS=Xenopus laevis PE=2 SV=1 E(blastx)=1e-17
isogroup63006_g1	Integrase/recombinase xerD homolog OS=Selenomonas ruminantium GN=xerD PE=3 SV=1 E(blastx)=5e-08
isogroup56449_g1	Dapdiamide synthesis protein DdaC OS=Enterobacter agglomerans GN=ddaC PE=4 SV=1 E(blastx)=8e-33
isogroup61631_g2	Methylmalonic aciduria and homocystinuria type C protein homolog OS=Danio rerio GN=mmachc PE=3 SV=2 E(blastx)=3e-13
isogroup116258_g1	Cystinosin homolog OS=Dictyostelium discoideum GN=ctns PE=3 SV=1 E(blastx)=2e-38
isogroup56575_g1	Cilia- and flagella-associated protein 54 OS=Homo sapiens GN=CFAP54 PE=2 SV=3 E(blastx)=3e-26
isogroup74749_g1	Vitrin OS=Homo sapiens GN=VIT PE=2 SV=1 E(blastx)=6e-17
isogroup61571_g2	Radial spoke head protein 4 homolog A OS=Mus musculus GN=Rsph4a PE=1 SV=2 E(blastx)=2e-122
isogroup54297_g1	5'-nucleotidase OS=Bos taurus GN=NT5E PE=1 SV=2 E(blastx)=1e-64
isogroup172619_g1	Dynein heavy chain 5, axonemal OS=Homo sapiens GN=DNAH5 PE=1 SV=3 E(blastx)=8e-62
isogroup63093_g3	S-phase kinase-associated protein 1 OS=Xenopus laevis GN=skp1 PE=1 SV=3 E(blastx)=3e-77
isogroup9194_g1	Mitochondrial substrate carrier family protein G OS=Dictyostelium discoideum GN=mcfG PE=2 SV=1 E(blastx)=4e-69
isogroup33915_g1	Gamma-aminobutyric acid type B receptor subunit 2 OS=Rattus norvegicus GN=Gabbr2 PE=1 SV=2 E(blastx)=5e-18
isogroup59680_g3	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=4e-17
isogroup61974_g14	WD repeat, SAM and U-box domain-containing protein 1 OS=Gallus gallus GN=WDSUB1 PE=2 SV=2 E(blastx)=8e-110
isogroup51564_g1	Superoxide dismutase [Cu-Zn] OS=Hylobates lar GN=SOD1 PE=2 SV=3 E(blastx)=3e-48
isogroup62700_g3	Pro-interleukin-16 OS=Homo sapiens GN=IL16 PE=1 SV=4 E(blastx)=5e-32
isogroup63415_g1	VWFA and cache domain-containing protein 1 OS=Mus musculus GN=Cachd1 PE=2 SV=1 E(blastx)=3e-13
isogroup39275_g1	E3 ubiquitin-protein ligase TRAIP OS=Mus musculus GN=Traip PE=1 SV=2 E(blastx)=3e-10
isogroup60159_g1	SNF-related serine/threonine-protein kinase OS=Homo sapiens GN=SNRK PE=1 SV=2 E(blastx)=2e-143
isogroup54071_g1	Probable indole-3-pyruvate monooxygenase YUCCA4 OS=Arabidopsis thaliana GN=YUC4 PE=1 SV=1 E(blastx)=5e-09
isogroup10964_g1	CD5 antigen-like OS=Homo sapiens GN=CD5L PE=1 SV=1 E(blastx)=8e-22
isogroup57710_g1	Neuroplastin OS=Mus musculus GN=Nptn PE=1 SV=3 E(blastx)=2e-06
isogroup49974_g1	Dynein heavy chain 7, axonemal OS=Homo sapiens GN=DNAH7 PE=1 SV=2 E(blastx)=6e-89
isogroup62114_g1	Bacterial dynamin-like protein OS=Nostoc punctiforme (strain ATCC 29133 / PCC 73102) GN=Npun_R6513 PE=1 SV=1 E(blastx)=1e-15
isogroup57619_g1	Solute carrier family 26 member 6 OS=Mus musculus GN=Slc26a6 PE=1 SV=2 E(blastx)=2e-114
isogroup49156_g1	Dual specificity protein kinase splA OS=Dictyostelium discoideum GN=splA PE=1 SV=3 E(blastx)=1e-18
isogroup22962_g1	Proton-coupled folate transporter OS=Danio rerio GN=slc46a1 PE=2 SV=1 E(blastx)=2e-12
isogroup143373_g1	Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2 E(blastx)=5e-10
isogroup56906_g2	Sentrin-specific protease OS=Caenorhabditis elegans GN=ulp-1 PE=2 SV=3 E(blastx)=4e-06
isogroup51156_g1	Zinc finger protein 626 OS=Homo sapiens GN=ZNF626 PE=2 SV=2 E(blastx)=3e-06
isogroup61002_g1	Apolipoprotein L3 OS=Homo sapiens GN=APOL3 PE=1 SV=3 E(blastx)=2e-06
isogroup32526_g1	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4 E(blastx)=4e-64
isogroup8168_g1	Serine/threonine-protein phosphatase CPPED1 OS=Mus musculus GN=Cpped1 PE=1 SV=1 E(blastx)=3e-88
isogroup55021_g1	Phosphoserine phosphatase OS=Pongo abelii GN=PSPH PE=2 SV=1 E(blastx)=2e-78
isogroup32460_g1	Cysteine-rich secretory protein LCCL domain-containing 2 OS=Homo sapiens GN=CRISPLD2 PE=2 SV=1 E(blastx)=5e-15
isogroup37988_g1	LINE-1 retrotransposable element ORF2 protein OS=Mus musculus GN=Pol PE=1 SV=2 E(blastx)=2e-12
isogroup63141_g2	Sacsin OS=Mus musculus GN=Sacs PE=1 SV=2 E(blastx)=1e-135
isogroup54514_g1	Fukutin-related protein OS=Homo sapiens GN=FKRP PE=1 SV=1 E(blastx)=6e-06
isogroup52806_g1	Receptor-transporting protein 3 OS=Mus musculus GN=Rtp3 PE=1 SV=2 E(blastx)=7e-12
isogroup57983_g4	Arginine/serine-rich coiled-coil protein 2 OS=Xenopus tropicalis GN=rsrc2 PE=2 SV=1 E(blastx)=9e-10
isogroup50087_g1	Wilms tumor protein homolog (Fragment) OS=Sminthopsis macroura GN=WT1 PE=2 SV=1 E(blastx)=2e-26
isogroup20795_g1	Potassium voltage-gated channel subfamily C member 1 OS=Homo sapiens GN=KCNC1 PE=1 SV=1 E(blastx)=2e-74
isogroup62011_g1	Amidase OS=Sulfolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) GN=SSO2122 PE=1 SV=1 E(blastx)=3e-149
isogroup8920_g1	Sodium/potassium/calcium exchanger 6, mitochondrial OS=Rattus norvegicus GN=Slc8b1 PE=1 SV=1 E(blastx)=7e-27
isogroup61389_g1	Protein mab-21 OS=Drosophila melanogaster GN=mab-21 PE=2 SV=2 E(blastx)=4e-16
isogroup52128_g1	Schlafen-like protein 1 OS=Mus musculus GN=Slfnl1 PE=2 SV=1 E(blastx)=5e-08
isogroup118433_g1	60S ribosomal protein L24 OS=Drosophila melanogaster GN=RpL24 PE=1 SV=1 E(blastx)=1e-55
isogroup168547_g1	Protein phosphatase 1 regulatory inhibitor subunit 16B OS=Homo sapiens GN=PPP1R16B PE=1 SV=1 E(blastx)=3e-12
isogroup61950_g6	Golgin subfamily A member 4 OS=Mus musculus GN=Golga4 PE=1 SV=2 E(blastx)=7e-22
isogroup57033_g1	E3 ubiquitin-protein ligase ZNRF3 OS=Mus musculus GN=Znrf3 PE=1 SV=1 E(blastx)=1e-99
isogroup50825_g2	Sacsin OS=Mus musculus GN=Sacs PE=1 SV=2 E(blastx)=1e-77
isogroup56495_g1	Ubiquitin-conjugating enzyme E2 J2 OS=Homo sapiens GN=UBE2J2 PE=1 SV=3 E(blastx)=2e-103
isogroup52848_g1	Collagen alpha-2(V) chain OS=Mus musculus GN=Col5a2 PE=1 SV=1 E(blastx)=5e-05
isogroup59082_g1	NEDD8-conjugating enzyme Ubc12 OS=Mus musculus GN=Ube2m PE=1 SV=1 E(blastx)=4e-93
isogroup39096_g1	Kelch-like protein 12 OS=Danio rerio GN=klhl12 PE=2 SV=2 E(blastx)=1e-35
isogroup176563_g1	Putative tyrosinase-like protein tyr-3 OS=Caenorhabditis elegans GN=tyr-3 PE=3 SV=5 E(blastx)=5e-06
isogroup180279_g1	Solute carrier organic anion transporter family member 4A1 OS=Mus musculus GN=Slco4a1 PE=1 SV=2 E(blastx)=6e-28
isogroup52785_g2	Thioredoxin domain-containing protein 15 OS=Rattus norvegicus GN=Txndc15 PE=2 SV=1 E(blastx)=1e-29
isogroup58936_g1	Hamartin OS=Rattus norvegicus GN=Tsc1 PE=1 SV=1 E(blastx)=2e-58
isogroup22152_g1	G-protein coupled receptor 126 OS=Danio rerio GN=gpr126 PE=2 SV=1 E(blastx)=6e-12
isogroup46612_g1	Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus GN=Pafah1b3 PE=1 SV=1 E(blastx)=9e-78
isogroup47863_g2	Putative gamma-glutamyltransferase YwrD OS=Bacillus subtilis (strain 168) GN=ywrD PE=1 SV=1 E(blastx)=1e-16
isogroup47940_g1	Exosome complex component RRP4 OS=Mus musculus GN=Exosc2 PE=1 SV=1 E(blastx)=1e-121
isogroup37832_g1	Diphthine methyl ester synthase OS=Mus musculus GN=Dph5 PE=1 SV=2 E(blastx)=4e-138
isogroup62393_g3	UBX domain-containing protein 11 OS=Rattus norvegicus GN=Ubxn11 PE=1 SV=1 E(blastx)=8e-62
isogroup95464_g1	Contactin-associated protein 1 OS=Homo sapiens GN=CNTNAP1 PE=1 SV=1 E(blastx)=1e-43
isogroup56691_g3	Ribonuclease 3 OS=Homo sapiens GN=DROSHA PE=1 SV=2 E(blastx)=2e-154
isogroup58878_g1	Scaffold attachment factor B1 OS=Mus musculus GN=Safb PE=1 SV=2 E(blastx)=3e-31
isogroup55498_g2	Basal body-orientation factor 1 OS=Xenopus laevis GN=ccdc176 PE=2 SV=1 E(blastx)=3e-78
isogroup7555_g1	78 kDa glucose-regulated protein OS=Gallus gallus GN=HSPA5 PE=1 SV=1 E(blastx)=3e-88
isogroup34204_g1	Transcriptional repressor scratch 1 OS=Mus musculus GN=Scrt1 PE=1 SV=1 E(blastx)=4e-54
isogroup49394_g1	Mitochondrial import inner membrane translocase subunit Tim13-A OS=Xenopus laevis GN=timm13-a PE=3 SV=2 E(blastx)=6e-31
isogroup57231_g2	H/ACA ribonucleoprotein complex subunit 4 OS=Mus musculus GN=Dkc1 PE=1 SV=4 E(blastx)=5e-75
isogroup48494_g1	Methylthioribulose-1-phosphate dehydratase OS=Xenopus tropicalis GN=apip PE=2 SV=1 E(blastx)=1e-122
isogroup58081_g5	Myosin regulatory light polypeptide 9 OS=Pongo abelii GN=MYL9 PE=2 SV=3 E(blastx)=2e-69
isogroup57961_g4	Serine/threonine-protein kinase PAK 2 OS=Rattus norvegicus GN=Pak2 PE=1 SV=1 E(blastx)=2e-91
isogroup41957_g1	Carbohydrate sulfotransferase 1 OS=Danio rerio GN=chst1 PE=2 SV=2 E(blastx)=6e-17
isogroup28757_g1	Phosphatidylinositol phosphatase PTPRQ OS=Mus musculus GN=Ptprq PE=1 SV=1 E(blastx)=1e-09
isogroup53442_g1	Zinc finger matrin-type protein 5 OS=Danio rerio GN=zmat5 PE=2 SV=1 E(blastx)=9e-24
isogroup61113_g3	NFX1-type zinc finger-containing protein 1 OS=Homo sapiens GN=ZNFX1 PE=2 SV=2 E(blastx)=6e-40
isogroup133678_g1	Sodium- and chloride-dependent GABA transporter 1 OS=Rattus norvegicus GN=Slc6a1 PE=1 SV=1 E(blastx)=4e-168
isogroup48074_g2	Coilin OS=Xenopus laevis GN=coil PE=2 SV=2 E(blastx)=2e-16
isogroup46365_g1	Proteasome subunit beta type-5 OS=Rattus norvegicus GN=Psmb5 PE=1 SV=3 E(blastx)=2e-123
isogroup37530_g1	Delta-like protein D OS=Danio rerio GN=dld PE=1 SV=2 E(blastx)=1e-34
isogroup58458_g3	Membrane-bound transcription factor site-1 protease OS=Rattus norvegicus GN=Mbtps1 PE=1 SV=2 E(blastx)=7e-58
isogroup52959_g1	BTB/POZ domain-containing protein 2 OS=Homo sapiens GN=BTBD2 PE=1 SV=1 E(blastx)=4e-41
isogroup53878_g1	Transcription initiation factor IIA subunit 1 OS=Drosophila melanogaster GN=TfIIA-L PE=1 SV=2 E(blastx)=2e-21
isogroup160475_g1	Methylenetetrahydrofolate reductase OS=Macaca fascicularis GN=MTHFR PE=2 SV=1 E(blastx)=5e-31
isogroup56060_g6	Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1 E(blastx)=2e-142
isogroup62347_g4	Protein fem-1 homolog B OS=Xenopus laevis GN=fem1b PE=2 SV=1 E(blastx)=7e-14
isogroup57345_g1	Polycomb protein SCMH1 OS=Homo sapiens GN=SCMH1 PE=1 SV=1 E(blastx)=2e-71
isogroup58515_g2	Phosphotriesterase-related protein OS=Nematostella vectensis GN=v1g177083 PE=3 SV=1 E(blastx)=1e-126
isogroup56618_g1	Peroxisomal hydratase-dehydrogenase-epimerase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=fox-2 PE=1 SV=1 E(blastx)=4e-151
isogroup72450_g1	Adhesion G protein-coupled receptor B3 OS=Homo sapiens GN=ADGRB3 PE=1 SV=2 E(blastx)=1e-32
isogroup32156_g3	Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=3 E(blastx)=6e-51
isogroup56995_g1	AN1-type zinc finger protein 4 OS=Mus musculus GN=Zfand4 PE=3 SV=2 E(blastx)=1e-85
isogroup20096_g1	Carboxypeptidase B2 OS=Mus musculus GN=Cpb2 PE=1 SV=1 E(blastx)=2e-60
isogroup136051_g1	Tumor necrosis factor OS=Sus scrofa GN=TNF PE=2 SV=1 E(blastx)=1e-09
isogroup57972_g2	Tyrosine-protein kinase isoform SRK1 OS=Spongilla lacustris GN=SRK1 PE=2 SV=1 E(blastx)=2e-08
isogroup52424_g1	Regulation of enolase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REE1 PE=1 SV=1 E(blastx)=2e-20
isogroup58594_g1	Long-chain fatty acid transport protein 4 OS=Homo sapiens GN=SLC27A4 PE=1 SV=1 E(blastx)=5e-180
isogroup46437_g1	2'-5'-oligoadenylate synthase-like protein 2 OS=Mus musculus GN=Oasl2 PE=1 SV=2 E(blastx)=5e-05
isogroup48237_g2	Tyrosinase OS=Streptomyces antibioticus GN=melC2 PE=3 SV=2 E(blastx)=5e-23
isogroup21522_g1	Insoluble matrix shell protein 1 (Fragment) OS=Ruditapes philippinarum PE=1 SV=1 E(blastx)=2e-09
isogroup27708_g1	NAD-dependent protein lipoamidase sirtuin-4, mitochondrial OS=Bos taurus GN=SIRT4 PE=2 SV=1 E(blastx)=2e-109
isogroup52009_g1	Condensin-2 complex subunit G2 OS=Xenopus laevis GN=ncapg2 PE=1 SV=1 E(blastx)=7e-169
isogroup42436_g1	Mucin-like protein (Fragment) OS=Acropora millepora PE=1 SV=1 E(blastx)=2e-30
isogroup35507_g1	Neuropeptide FF receptor 2 OS=Rattus norvegicus GN=Npffr2 PE=2 SV=1 E(blastx)=1e-42
isogroup62061_g3	EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2 E(blastx)=3e-43
isogroup56644_g3	Zinc finger protein 862 OS=Homo sapiens GN=ZNF862 PE=2 SV=2 E(blastx)=3e-11
isogroup5018_g1	Beta-2 adrenergic receptor OS=Rattus norvegicus GN=Adrb2 PE=1 SV=1 E(blastx)=3e-48
isogroup51644_g1	Replication protein A 32 kDa subunit-B OS=Xenopus laevis GN=rpa2-b PE=2 SV=1 E(blastx)=8e-68
isogroup57503_g3	Nephrocystin-3 OS=Danio rerio GN=nphp3 PE=3 SV=1 E(blastx)=3e-15
isogroup15856_g1	DEP domain-containing mTOR-interacting protein OS=Mus musculus GN=Deptor PE=1 SV=2 E(blastx)=4e-63
isogroup61649_g1	Stromal interaction molecule 1 OS=Bos taurus GN=STIM1 PE=2 SV=1 E(blastx)=2e-113
isogroup150945_g1	Dual specificity protein phosphatase 7 (Fragment) OS=Rattus norvegicus GN=Dusp7 PE=2 SV=1 E(blastx)=3e-15
isogroup58709_g3	Sphingosine 1-phosphate receptor 2 OS=Danio rerio GN=s1pr2 PE=1 SV=1 E(blastx)=2e-10
